坏;Bad         ;Bad dog! Don't soil the house - didn't you see the "NO" symbol? Go and do your business outside. Alternatively, there is no earthly way that you'll get me to do something that bad!;;
袋;Bag         ;In times of need; when you are down on your luck; a sacking bag can make a servicable substitute for clothing
篮;Basket         ;This is a lovely flower arrangements given by the Chinese ambassador to the US one. However; nestled within the bamboo basket is a hidden camera and microphone!;
浴;Bathe         ;You are watching a woman bathe - see the water drops running down her cleavage (valley of the chest);;
阵;Battle formation         ;The military command unit is watching the formations of battle form up from their command car on top of the Acropolis;;
湾;Bay         ;A bay is a long curved area of shoreline near the water; and it's into a bay (the one on Lake Lucerne) that William Tell escaped capture by Gessler during a storm.;
恋;Be enamored of         ;You are enamored of someone if they are the apple of your heart!;;
美;Beautiful         ;The Welsh clearly aren't the only ones that think beauty is a large sheep...;;
招;Beckon         ;When you beckon to someone with your finger you are summoning them to you;;
床;Bed         ;If you want to make your bed in the wilderness; the only safe places are in the branches of a tree or in a cave. To be on the safe side; you could drag a tree into a cave and sleep there
预;Beforehand         ;I wasn't always a feared warlord; you know. Beforehand; I was a mere general who took the job by driving a ceremonial spear into the head of the previous incumbent (before his hand could reach up to protect his face).
起;Begin         ;This snake is tired of slithering along the ground after insects and has begun walking lessons;;
后;Behind         ;Look behind you! A horrific creature is draggaing itself towards you along the ceiling - all mouth and teeth but with no legs at all;;
属;Belong to         ;These insects belong to a nationalist insect terrorist group: their flag is flying above; and below it an insect member in an explosives belt and with a scarred forehead is reciting a jihadist message for the camera.;
遗;Bequeath         ;Bequeathing your possessions to your children can be an expensive road to go down; due to inheritance tax. Much better to spend it all before you die!;
馆;Bldg.         ;This building is like all other government buildings: they house bueraucrats that sit around eating expensively on the taxpayer's dollar;;
眨;Blink         ;You blink when your eyeballs have become weary of being open for too long;;
血;Blood         ;A dish full of drops of blood;;
蓝;Blue         ;The Chinese just don't give up - the same flower basket also has a hidden camera hidden in the blue orchids. One in the bamboo basket and and one in the blue flowers - shameless!;;
青;Blue or green         ;Grown-up telescope fixed on the moon (made out of green cheese). Once in a blue moon; you see the cheesemaker.;
舟;Boat         ;A pictograph of a two story boat seen from the front. The glass canopy is the body of the boat. The drop on top is the chimney. The horizontal line is the ceiling/floor between the the st/nd floor. Finally; the two drops in the middle are the lights on the decks.;
体;Body         ;Chuck Norris has exactly the kind of body that makes you want to get our your notebook and start sketching - it's so attractive!;;
伪;Bogus         ;What is bogus here is the Chuck Norris persona - the guy is quite normal in reality - it is all an act!;;
边;Border         ;The road extends right through the border with no checkpoint in sight; but you are help back from crossing it by your fear of the powers that be;
借;Borrow         ;In times past; you borrowed Chuck Norris' karate belt; but you have forgotten to give it back...
胸;Bosom         ;The part of your mothers body that you want to be bound up to when the world seems far too cruel!;;
底;Bottom         ;This bottomless cave is perfect for disposing of all your unwanted calling cards.;;
俯;Bow one’s head         ;If you want to get your way with the people at the government office; you have to be subservient at every opportunity - bowing one's head is also a good idea;
箱;Box         ;This box is made of bamboo strips skillfully woven through one another to produce a sturdy container;;
拳;Boxing         ;You must only have a quarter of your brain if you feel tempted to try your hand at a boxing match. Alternatively; in the first quarter of the boxing match you break your hand through a particularly nasty blow; ending your career!
脑;Brain         ;The brain is the only part of Fagan's flesh this is worth anything - every other part of his flesh is cruel; despicable and nasty - from his top hat down to the pit of his stomach.;
枝;Branch         ;A tree branch is just an offshoot of a tree;;
挥;Brandish         ;Who is brandishing this weapon? There is one held in the fingers of every member of your army!;;
敢;Brave         ;A brave but naughty schoolboy put thumbtacks on the seat of his teacher but got caught in the act - now that harsh taskmaster has him firmly by the ear as he gets dragged to the principals office;;
浪;Breakers         ;The breakers and the spray they kick up form a kind of silvery halo of drops around the water of the ocean;;
息;Breath         ;You draw a breath in by your nostrils and it is taken into your heart via your lungs;;
提;Bring up         ;When you bring up an idea in a group, you stick your finger in the air and say "Here be a thought...";;
泡;Bubbles         ;Bubbles are just water wrapping up a pocket of air;;
佛;Buddha         ;The Buddha was concerned with making people less worried about how many dollar signs they had in their bank balance;;
栋;Building         ;Feng shui dictates that you should build buildings out of wood (that most natural of materials) and facing east - and if they fast east towards a tree; so much the better.;
弹;Bullet         ;These bow-let points are on your shopping list. Alternatively; you're going weapon shopping on the bullet train and the first thing on your list is bullets for your bow - i.e. arrows.;
束;Bundle up         ;This big mouth is not content to wait for apricots to fall; so he has climbed up the tree and is bundling them up into his mouth; juice running down his chin!
局;Bureau         ;The Federal Bureau of Investigation's job is to monitor your sentences and raise red flags if you start talking like a terrorist;;
官;Bureaucrat         ;No one likes classical music anymore. Our Maestro is here at home without his baton; sighing sadly before he heads off for another day as his new job as a bureaucrat.;
忙;Busy         ;When are you busy you are in a state of mind where all thoughts have perished;;
买;Buy         ;This dubious Frenchman; with cigarette hanging from his lip and beret jauntily arranged on his head; is attempting to get you to buy his even more dubious bust of Charles de Gaulle
唤;Call out         ;The Victorian lady is hopelessly trapped: with her corset she can't climb out of the hole she has dug for herself; so she opens her mouth and calls out for a swarthy man to help her.;
典;Canon         ;Religious canon is a tool to bend people's minds in favour of the Church.;;
谨;Careful         ;Since I was invited to dinner; I was very careful to avoid saying any bad words about the spinach - even though it was truly horrible over-boiled stuff.;
继;Carry on         ;The latest Carry On film is Carry On Angler; where in a notable scene the fisherman hilariously gets tangled up in the thread of his rice-baited fishhook; so he falls into the water!
刻;Carve         ;This famous ninja (I always use ninjas with sabres; distinct from samurai) used to carve his name onto acorns; and throw the acorns to distract his enemies. The legend goes that by the time his victims would pick up the acorn and read the carved text
央;Center         ;You've got the St Bernard's dog dead center in your sights, and you're ready to pull the trigger in revenge for his earlier stint as a highwayman (in "reach").;;
礼;Ceremony         ;In this primitive religious ceremony; a boy who is coming of age lies on the altar and has his ears pierced by a fishook. Those who don't die of infection become adults!;
据;Certificate         ;A certificate of residence that points firmly (with an official finger) at the place where you legally reside;;
追;Chase         ;The maestro; coattails wildly flapping; is pursued down the road by his fans
怀;Cherish         ;When you cherish someone, your state of mind is such that you couldn't stand having them taken away from you by a big "NO" sign dropping down in front of them;;
鸡;Chicken         ;A chicken in your right hand is worth two birds in the wild.;;
酋;Chieftain         ;Moose whisky! Made from pressed moose antlers - so rare; expensive and strong that only the chieftain is allowed to drink it.;
筷;Chopsticks         ;Chopsticks (made of bamboo) are perfect for fast food!;;
班;Class         ;Here we see the two principal classes of economics at war with each other - each led by a different king (Friedman or Keynes) they charge at each other with sabers drawn!;;
执;Clench         ;You clench your buttocks at the prospect of the doctor taking a suppository from his bottle of pills and shoving it up your behind with his fingers;;
丑;Clown         ;I've always found clowns creepy; and Giggles the clown is particularly creepy. Part of the reason is that he's not too used to being funny. This is actually his second job: his main job is to pick keys with a set of lockpicks (a needle) in the criminal underworld; but he needs the clown gig to make ends meet. So he stumbles around stoically
冷;Cold         ;To keep your drink cold; just order some more ice;
领;Collar         ;If you don't follow your orders; it will be off with your head.. and that will damage the collar of your newly-bought clothes; so you better avoid it!
色;Color         ;Mosaics are made up of many small coloured tiles which when bound up make one big riotous colour picture.;;
抗;Combat         ;If you watch a master of kung fu in combat; his fingers will appear to be a whirlwind as they dance all over the opponent. As he steps back; the opponent falls to the ground in ten thousand tiny chunks!
并;Combine         ;By combining the elegant ivory (animal horn) pieces of this jigsaw with your two hands you might be able to solve it;;
始;Commence         ;Many men; before they commence a relationship; put the women on a sort of pedestal
委;Committee         ;The women wheat farmers decide to create a committee that will manage their shared lands;;
货;Commodities         ;Commodities trades have a wonderful way of transforming your shells into... fewer shells (at least if you invest in GSCI :-);;
碌;Commonplace         ;Stones are commonplace - stone snowmen; less so!;
通;Communicate         ;In feudal Europe; lords communicated using two components: sealing wax (for the seas on their letters) and (Roman) roads; which the messengers could scamper down.
赛;Competition         ;The ultimate hamster-cage match! Oysters vs. hamsters! Who will win? Answer: the hamster - they simply ate the oysters while the oysters flapped helplessly.;;
编;Compile         ;While you're waiting for a big bit of code to compile in a background thread you can read a book from cover to cover. Your excuse to your employer: it's compiling!;;
掩;Conceal         ;This is the concealed weapon held in the fingers of a spy hang-gliding into enemy territory. If he is discovered on his descent he can take out the opponent with a simple squeeze of his finger on the trigger!;;
授;Confer         ;When the Ring was bestowed into Frodo's care; he accepted it into his fingers with a heavy heart; knowing that it could never be allowed to rest on his finger
儒;Confucian         ;Chuck Norris needs Confucian kung fu masters to fight against; otherwise he will succumb to bordem;
贺;Congratulate         ;Your kindly uncle congratulates you on your exam performance with a pat on the back and by adding some shells to your bank account;;
思;Consider         ;When you consider something carefully; you take into account the opinions of your brains as well as your heart;
争;Contend         ;This drunkard has to contend with crossing a booby trapped lawn back to his house. First; he keeps stepping on rakes in the grass (which fly up and hit him in the face) and secondly he has to avoid getting bound up in the tough hedges all around;
续;Continue         ;The Frenchmen selling you the bust just won't stop! He continues his pitch in the same thread by blathering about his latest wonderful project;;
便;Convenient         ;Convenience stores compete with each other to be even more convenient than each other and hence attract more people to their shops;;
协;Cooperate         ;Tattooing requires great cooperation from the subject; but even with him lying perfectly still sweat still beads on the brow of the artist as he prepares to stick his needle into the muscle;
颜;Countenance         ;The divine countenance is certainly the most erudite head in the whole of creation!;;
国;Country         ;The rulers of this country have pent in all the valuable jade treasures of the world;;
乡;Countryside         ;In the countryside; cocoons are left undisturbed for longer and so have the opportunity to grow long threads on their ends.;
县;County         ;The town council is responsible for planning applications; and insist on running their beady eyes over even the most trivial requests; such as when you want to build a wall.
勇;Courageous         ;Sometimes; delivering the letters sealed with sealing wax safely took great courage. After all; messengers were prime targets for bandits and the spys of other lords. The result is that messengers not only had to be courageous but also take some muscle along with them.
庭;Court of law         ;The court of law hands down a sentence: "for the porter than ran away from their master,  hours of stretching on the rack in the torture cave";;
皮;Covering         ;The covering of this offshoot is the bark hanging down to the side;;
犯;Criminal         ;Criminals can often by caught by the use of packs of wild dogs and fingerprint information. Alternatively; this is the pack of wild dogs in prison from earlier - now they have escaped; and were commiting more crimes
赤;Crimson         ;Remember the system for killing cows earlier? Crimson is the colour of the soil after you have plunged your saber into the cows; and its helpless animal legs have stopped wiggling in agony.;
批;Criticize         ;When you criticize someone publically; you point your finger at them and loudly compare them to some ideal standard;
凶;Cruel         ;A cruel means of execution: throw sheaves of wheat into a prison pit containing a starving prisoner so they drown in the food they have been pitiously asking for for weeks!;;
杯;Cup         ;After one too many cups of beer you drive your Ferrari off the road, through a "NO" sign and into a tree on the way back home;;
弯;Curved         ;This shows the curved path of William Tell's crossbow bolt as it flew from his bow into the apple on his sons head.;;
割;Cut off         ;If you cut off parts of someone with your saber you are certainly doing them harm!;;
危;Danger         ;You've fallen off the side of a cliff; and are now bound to it by just your fingerprints. This is a very dangerous situation indeed!;
死;Death         ;The Grim Reaper has showed up to claim your soul - but instead of a scythe he holds a funny spoon made out of bones for scooping your conciousness right out of your body!;;
决;Decide         ;"You Decide" - at least, since the last king had his head cut off by a guilllotine! Of course, given how effective democracy has been it would have been wise in restrospect to keep the head on ice to make decisions for us when the politicans are caught up in squabbling. Alternatively, this pictures someone who can't decide between two model of guillotine: extra tall or extra sharp? While he waits his feet are getting frozen to the ground in the cold air.;;
深;Deep         ;Spring cleaning one day; you open the deepest drawer of your desk and find not only your beloved paper punch; but also a tiny tree growing out of the wood
鹿;Deer         ;Cave paintings that cavemen used to compare themselves to deer - the double-key of time locks up the mysteries of why they did this.;;
卫;Defend         ;In order to defend your officially registered chop (i.e. seal) from thieves; you carefully hide it underneath the floor of your home;
缺;Deficient         ;Correct a tin deficiency by eating a tin can; and an iron deficiency by cutting your head off using a rusty guillotine.;
度;Degrees         ;You had better choose a place to sit down in the caverns that is a bit closer to the cooking fire; or else when you sit down the temperature of your crotch will fall by fifty degrees!;
送;Deliver         ;To deliver the worshippers of the Golden Calf from evil; Moses sent the calf packing by having it delivered to a smelter down the road.;
魔;Demon         ;You've heard of the demon of drink; this is the demon of drugs: the ghost that inhabits hemp and feeds on the brainpower of cannabis smokers.;
部;Department         ;The Department For Truth are responsible for muzzling the press within the confines of the city walls.;;
依;Depend on         ;Chuck Norris doesn't depend on his clothes for his power - it's all him; baby!;
眷;Dependents         ;If a husband has three dependents (as is typical) then his eyeball has to watch as only one quarter of his wealth is available for him to spend on expensive toys;;
降;Descend         ;The monocle-wearing Sir Patrick Moore descends from the Acropolis (where he has been making some astronomical observations); his walking legs going nineteen to the dozen as he sweats profusely;
露;Dew         ;It's wonderful to go out along the paths around your house after a night of rain; as you can watch the dew condensed on everything on the path;
泻;Diarrhea         ;Diarrhea flows out like water; writing off the meal that you ate last night.;
异;Different         ;This snake(skin) oil salesman shakes his two hands in front of him in protest: "no, my product is different from those fraudsters"!;;
难;Difficult         ;It's difficult to find a turkey's crotch under all those feathers;;
勤;Diligent         ;If you are as diligent about eating your spinach as Popeye; then you too can grow fantastic muscles! Alternatively; the school cafeteria manager decided
餐;Dine         ;You go to dine at a restaurant in the evening. The chef waves the magic wand in his right hand; and delicious food springs into being! Amazing!;
废;Discard         ;When people wanted to discard the One Ring; they sent Frodo as a courier through the caves of Moria and Mordor to do the job;
绝;Discontinue         ;I'm afraid we've had to discontinue that line of threads - the colours just aren't "in" this season, you know?;;
折;Discount         ;You get the five fingered discount on a tomahawk that took your fancy; smuggling it out of the shop under your jacket;
辩;Dispute         ;Tempers have been inflamed in this dispute by mutual consumption of spicy dishes laden with chilli peppers. As a result; the words being exchanged are very peppery indeed!;
溶;Dissolve         ;When the snow on top of the mountains dissolves it turns into water and flows down to the rooftops of the houses in the valley below;;
配;Distribute         ;To distribute whisky bottles during Prohibition you would have to be as sneaky as a snake. It's much easier to keep all the whisky for yourself!;;
作;Do         ;This shows a person in the act of doing something quite illegal: sawing up his fiancee!;;
房;Domicile         ;People; like pigeons; posess an unerring internal compass that can lead them back to the door of their domicile even when inebriated
别;Don’t         ;In the code of this order of warriors; it's a great sin to use another man's sword. Hence this character; which communicates the stern injunction: don't do that!
户;Door         ;Instead of a bead curtain; this bar has as it's door a shredded national flag (a number of drops of a flag) - risking the ire of the police;
两;Dos         ;Dos persons hooked to the matrimonial yoke.;;
龙;Dragon         ;A fake dragon in a play; made by dressing a pooch up in a long tail of metallic spoons. Very cute!;
剧;Drama         ;In todays society; drama and film making is pretty much the only industries you can reside in that will put your saber-fighting skills to work;
引;Draw         ;Put a walking stick into the bow and draw it back; ready to let loose at the geezer you stole it from;
画;Drawing         ;You have been trapped in a prison pit; and your only means of relieving the tedium is to draw the myriad images romping through your brain on the ceiling of your cell.;
曼;Drawn out         ;If you want to draw out the day; the best approach is to catch the sun in a net with your right hand and keep hold of it until you have completed your tasks and you release it to progress across the sky;
垂;Droop         ;This porter's shoulders are drooping under the weight of all the silage they are being made to carry.;;
旱;Drought         ;This is drought weather: sun beating down above; the land is bone dry and all the crops are dying!;
干;Dry (adj.)         ;Clothesline;;
俩;Duo         ;It takes dos people to make a comic duo - if they are yoked together in matrimony; there are even more opportunities for laffs.;
昏;Dusk         ;At dusk every day I go out in one of those airplanes that leaves a vapour trail and write my family name just above the setting sun. (I have to wait until dusk so that the sun is low enough in the sky).;;
住;Dwell         ;Chuck Norris doesn't need light to see; so he keeps his dwelling pitch black - mere mortals have to bring a candlestick with them;
宅;Dwelling         ;Mrs Jones' house has been completely taken over by her furball cats, which dwell there permanently. NB: to distingish this from e.g. reside, remember that "dwelling" is somehow longer than residing, and that the cats have been there their whole lives, and will stay there until they die!;;
东;East         ;Drops of sweat pouring off the driver of a rickshaw (a kind of car) in the Far East.;;
易;Easy         ;The sun is knot an easy place to get to;;
宇;Eaves         ;Rather than stay in the eaves of a church; these bats have made themselves a house by hanging upside down on the hooks of a clothing conveyor!;
育;Education         ;Education is something you administer to your infant - but if he doesn't attend to his studies; you punish him with a good spanking to his exposed flesh;
蛋;Egg         ;The egg of a very rare insect - every zoo in the world wants to get their hands on it!;;
电;Electricity         ;Benjamin Franklin's kite.;;
秀;Elegant         ;Wheat farmers have a very simple but elegant way of harvest wild rice - just pull up bunches of it in their fists;;
象;Elephant         ;Elephants have huge ears (like those on a rabbit's head) and a big fat body (like that of a sow);;
除;Eliminate         ;You have to eliminate all excess weight by using a scale if you want to reach the pinnacle of Mount Everest - even if you are in the pinnacle of physical condition; you could be eliminated otherwise! Alternatively; your are eliminating your enemies by pushing them off an excessively tall pinnacle.
空;Empty         ;If you want to make something empty; you first need to work to make a hole in it;
励;Encourage         ;You are a contestant in a rock climbing contest - you are making the first ten thousand foot ascent in history; and halfway up the cliffs your muscles are screaming at you! The encouragement of your supporters (who just look like ants below you) is what keeps you going.;
忍;Endure         ;A ninja must endure the pain of clinging to the ceiling for hours on end to find just the right moment to drop down and thrust his blade into an enemies heart;;
英;England         ;England is the world's centre for flowers (notably the English rose) and big fat dogs.;;
诱;Entice         ;The best way a woman can entice a man is with elegant words;;
整;Entire         ;This entirely corrupt taskmaster gives away the entire correct answers to the exam in a surreptitious bundle to the student;;
托;Entrust         ;When crazy old Mrs Jones went away to visit her cousin; she entrusted the care and feeding of her fat old furball to you. Her cat is really horrible and keeps trying to nip at your fingers - so much so that you really want to entrust it to God instead!;
纪;Epoch         ;Epochs move in a cycle like an oroboros: a snake that forms a continuous thread by eating its own tail;;
彦;Erudite         ;Your fellow bungee-jumper in the product advertising stunt is a very erudite fellow who is wearing a rooster suit and is advertising organic chicken in an eloquent manner: "Dear sirs, I beg leave of you that you might gaze briefly on my fine poulty products - I testify without fear of contradiction that no more beautiful chickens have graced the Earth since the time of Julius Caesar";;
设;Establish         ;Nowadays; a nuclear missile and a few well-chosen words are enough to establish you as a major world power (and the target of a US covert ops team..);
等;Etc.         ;The Bamboo Buddhist Temple has bamboo buddhas; bamboo buildings; bamboo benches
欧;Europe         ;Europe is the most boring region of the world - even its own citizens have trouble not yawning all day;;
避;Evade         ;To evade his attackers; James Bond sprays slippery hot sauce from his latest car onto the road. The pursuit swerves off the road and explodes impressively!;
评;Evaluate         ;If you evaluate something fairly then your words will be measured and even;;
平;Even         ;Water-lily floating evenly on the surface of the water;;
更;Even more         ;You're working on your tan in the yard; but your son points out that you can get even more rays if you go and sit on the ceiling with a mirror tucked under your arm to redirect the rays.;
检;Examine         ;If you examine all the trees is the forest closely; eventually you'll find the hollow one in which owls hold their secret hootenannys.;
例;Example         ;Chuck Norris always sets a good example of how to queue at the supermarket - anyone who steps out of the line-up gets a swift roundhouse kick;;
优;Excellent         ;In a previously unpublished episode of Bill and Teds Excellent Adventures; they go forward into the future where half the world is ruled by Chuck Norris and the other half by the Frankenpooch; and get to witness the ultimate battle of good versus evil. Excellent!
余;Excess         ;Excess weight! This clothing conveyer has a scale built into its hooks; but the scale is too small to register the weight of the umbrella you've hung on it; so the needle is spinning around and around. Is the umbrella full of rocks or something??
兴;Excitement         ;There is great excitement in the crowd of owls as they hear something's animal legs scurry across the floor. A few moments later; the legs are all that is left; as the other parts have been swallowed into their beaks.
施;Execute         ;This army communicates with a series of coded banners: a banner with a Scorpion pictures means Start, and the one with a Horse picture means Halt. So, if you see a scorpion banner, that means "execute the orders"!;;
尽;Exhausted         ;This ruler measures the depth of the polar ice caps - and it looks like they are almost exhausted!;;
费;Expense         ;That's really expensive! I can't afford to spend those sort of clams on an item that has so many dollar signs attached to it. Alternatively; dollar signs light up (high up) in the eyes of the shop keeper who spots a potential customer with plenty of clams (low down; in their hands) looking for his expensive item.
贵;Expensive         ;If you want to buy an expensive thing; you might not be able to fit all the shells you need to make the purchase into your purse...;
释;Explain         ;A mystery unexplained by science: why aliens like to probing crotches and dropping down to crush cornstalks beneath their spaceships.;;
申;Express         ;This is a street performance dance; expressing a funny story: it ends with the man singing (his tounge wagging in his mouth) while he holds a walking stick in his mouth; a monkey balancing on each end.
伸;Extend         ;Monkeys are part of the extended family tree of people;;
睛;Eyeball         ;Your eyeball is the part of your eye that you use to look through a telescope;;
眼;Eyelet         ;The eyelet of a needle is presumably the hole where an eyeball should go; and is made from silvery steel;
面;Face-to-face         ;One hundred people facing off against each other; eyes unblinking - eyeball to eyeball.;
派;Faction         ;It's guerilla war; and you've joind the transvestite faction! Dressed in a drag and a bandana; you wade through the water surrounding an enemy base in preperation for a sneak attack
信;Faith         ;If you can have faith in anything in this world; it's Chuck Norris' words;
差;Fall short of         ;It's a little known fact that when properly spun lambs wool can be stronger than steel thread. Thus when this building site fell short of I-beams they substituted wool instead.;;
虚;FALSE;A multiple-choice exam question: you may own a tiger without having "zookeeper" as your profession? False!;;
氏;Family name         ;Looks like FT: Family Title;;
命;Fate         ;When you are born; your soul is mailed to you body - and the stamp on the envelope tells the ethereal postal service where the soul fits; and hence its fate.
感;Feel         ;If you feel sad; your heart is likely to weep salty tears of grief;
情;Feelings         ;If someone hurts your feelings then your state of mind will be blue. If they make you jealous; your state of mind will be green. Either way; your feelings effect your state of mind.
档;Files         ;Files are made up of trees that decided to quit their old job of being decorative and work as white-collar employees instead;;
孝;Filial piety         ;Watch out children: Santa Claus won't get you a present if you don't practice filial piety!;;
指;Finger         ;His fingers moved purposefully up her thighs..;;
甲;First         ;This shows the first root of a sprout: the taproot;;
扁;Flat         ;The book cover (door) you ripped off the tome is lying flat on the floor where you let it fall. You'll soon join it when the librarian wallops your head...;;
逸;Flee         ;People would withdraw or retreat; but rabbits flee down the road in blind panic when they see a hunter coming.;
雾;Fog         ;This fog is the perfect cover for us to perform our task undetected...;;
食;Food         ;You are enjoying your high quality food under an umbrella in the Italian sun - heaven! In fact; you swear you saw someone with a halo walk by...;
脚;Foot         ;The foot is the part of your body that you need to withdraw from the ass of those people that have pissed you off;;
乍;For the first time         ;I "saw" Saw IV for the first time today - and it was so bad that afterwards I had a strong desire to saw the directors body in two;;
忘;Forget         ;You can only truly forget her when she perishes in your heart;;
堡;Fort         ;Like the city walls; this fort's walls are built out of soil. The fort itself is a safeguard against the outside world.;
础;Foundation         ;The foundation stone; as the most important stone in the building; has big ambitions. It wants to exit the jail it is part of and move into a cathedral!
禽;Fowl         ;The Guinea fowl are leaving for Papau New Guinea for the winter; but the weather looks fowl; so they take an umbrella to shelter themselves from the rain during the journey
脆;Fragile         ;A pair of aliens are laughing: "Human flesh is so fragile - the slightest danger can kill them!";;
馨;Fragrant         ;The civil war started over (like so many of these things) the love of the beautiful Fragrant Rose. Many people said her perfume was to die for; and now that assertion has been put to the test and not found wanting.;
鲜;Fresh         ;The freshest fish is caught in the middle of the night; when everyone else is counting sheep in bed!;
友;Friend         ;Friends with benefits - a crotch by your side;;
寒;Frigid         ;It's so frigid outside that your hamster cage is entirely encased in ice and the poor little critters are trapped inside the ice block; flash-frozen! You'd better heat them up...;
戏;Frolic         ;Frolicing at a sex party - crotch fiesta!;;
襟;Front of a garment         ;This flasher is prohibited from lifting up the cloak at the front of their garment;;
果;Fruit         ;If only Eve had used her brains and not taken the forbidden fruit from that tree;;
甫;Fu         ;Fu Machnu's moustache is needle thin - it's just a drop either side of the lips. He must utilize a lot of time making it so precise!;;
薪;Fuel         ;If your fire's fuel still has flowers growing on it; it is too new and you need to wait before using it.;
满;Full         ;To get flowers into full bloom requires the application of plenty of water and some nice soil; ploughed up by a team of dos oxon yoked together - breeding flowers is full time work!;
丧;Funeral         ;At a funeral you lower the deceased into the soil. To one side of the grave stands a demon wearing animal horns; and to the other side stands an angel wearing a barette to tie back her hair - they are viciously staring at each other; vying for the soul of the dead man. (In fact
