0001-@	日	日	rì	Sonne, Tag, Datum, Japan	Sonne			Bild einer 日 Sonne, früher rund mit Punkt, jetzt eckig.	生日 = shēng rì = Geburtstag // 節日 = jié rì = Fest, Feiertag // 日記 = rì jì = Tagebuch
0024-@	看	看	1) kān / 2) kàn	1) auf jmd./etw. aufpassen / 2) sehen, lesen	sehen	Hand (手扌) + Auge (目)	Hand + Auge	Eine 手 Hand über den 目 Augen erzeugt einen Schatten, so daß man klar 看 sehen kann.	看護 = kān hù = pflegen; Krankenschwester, Krankenpfleger // 看見 = kàn jiàn = jn./etw. sehen, erblicken // 看法 = kàn fǎ = Betrachtungsweise // 好看 = hǎo kàn = gut aussehend, hübsch (sein)
0025-@	馬	马	mǎ	Pferd	Pferd			Bild eines 馬 Pferdes.	馬上 = mǎ shàng = sofort, auf der Stelle, im Augenblick // 馬虎 = mǎ hǔ = nachlässig, fahrlässig, leichtfertig // 馬克 = mǎ kè = (deutsche) Mark, [ohne ZW]
0026-@	口	口	kǒu	Mund, Eingang, [ZEW für Lebewesen, Dinge mit Öffnung]	Mund			Bild eines 口 Mundes.	入口 = rù kǒu = Eingang // 口語 = kǒu yǔ = gesprochene Sprache // 門口 = mén kǒu = Tür, Tor, Eingang
0027-@	女	女	nǚ	weiblich, Frau	Frau			Bild einer 女 Frau. Der horizontale Strich im modernen Zeichen stammt vom Kopf (linkes Ende) und dem Körper mit den Beinen (rechtes Ende). Die beiden Striche, die sich unten kreuzen, sind die Arme. Das Bild der Frau hat sich im modernen Zeichen also gedreht.	女兒 = nǚ ér = Tochter // 女人 = nǚ rén = Frau // 婦女 = fù nǚ = Frau
0028-@	媽	妈	mā	(Mama)	Mama	Frau (女) + Pferd (馬)	Frau + Pferd	Das Zeichen besteht aus dem Sinngeber 女 Frau und dem Phonetikum 馬 mǎ (Pferd). Man könnte auch sagen: 媽 Mama ist eine 女 Frau, die wie ein 馬 Pferd beim Aufziehen der Kinder arbeiten muß.	媽媽 = mā mā = Mutter, Mutti, Mama // 老大媽 = lǎo dà mā = [respektvolle Anrede für ältere Frau], Madame // 他媽的 = tā mā de = Verdammt!, Scheiße! [vulgär]
0029-@	嗎	吗	ma	[Fragepartikel]	Fragepartikel	Mund (口) + Pferd (馬)	Mund + Pferd	Ein Zeichen, das mit etwas zu tun hat, das aus dem 口 Mund kommt und so ausgesprochen wird wie 馬 mǎ (Pferd). Es kennzeichnet einen 嗎 Fragesatz.	不是嗎 = bù shì ma = oder etwa nicht? // 幹嗎 = gàn ma = was machst du da?, was soll das?, was ist los? // 真的嗎 = zhēn de ma = wirklich?
0030-@	如	如	rú	wie, gleich wie, wenn, zum Beispiel	gemäß	Frau (女) + Mund (口)	Frau + Mund	Eine 女 Frau folgt den 口 mündlich gegebenen Anweisungen und handelt 如 gemäß.	如果 = rú guǒ = wenn, falls // 例如 = lì rú = beispielsweise, zum Beispiel // 不如 = bù rú = lieber als, anstatt, nicht so gut wie
0031-@	問	问	wèn	fragen	fragen	Tür (門) + Mund (口)	Tür + Mund	Jemand klopft an einer 門 Tür und formuliert 口 mündlich eine 問 Frage.	問題 = wèn tí = Frage, Problem // 訪問 = fǎng wèn = (offiziell) besuchen // 請問 = qǐng wèn = erlauben Sie mir bitte eine Frage
0032-@	閉	闭	bì	verschließen	schließen	Tür (門) + Talent/gerade (才)	Tür + Talent/gerade	Eine Tür 門 ist nicht offen, sondern 才 gerade 閉 verschlossen.	關閉 = guān bì = schließen, zumachen; (Betrieb) einstellen // 閉門 = bì mén = die Tür schließen // 倒閉 = dǎo bì = Bankrott machen, ruiniert werden
0033-1	开				entriegeln*			Ein Bild zweier Hände, die einen 一 Türriegel entfernen: 开 entriegeln.	
0033-@	開	开	kāi	öffnen, abhalten, ausfertigen, [Komplement des Wegbewegens]	öffnen	Tür (門) + entriegeln* (开)	Tür + entriegeln*	Das Zeichen besteht aus 門 Tür und 开 entriegeln. 开 war in der alten Form ein Bild zweier Hände, die einen 一 Türriegel entfernen.	開始 = kāi shǐ = anfangen, beginnen etw. zu tun; Beginn // 離開 = lí kāi = verlassen, fernbleiben // 開玩笑 = kāi wán xiào = scherzen, Spaß machen
0034-@	她	她	tā	sie	sie	Frau (女) + auch (也)	Frau + auch	她 Sie (in der Einzahl), das ist 也 auch eine 女 Frau.	她們 = tā men = sie, [3. Person Plural, nur weibliche Form: Gruppe von Frauen etc.] // 她的 = tā de = ihr, ihre, ihres [weibl./Sing.] // 她們的 = tā men de = ihr, ihre [nur weibl., Plural]
0035-@	力	力	lì	Kraft	Kraft			Das Zeichen für 力 Kraft sieht wie ein muskulöser Arm aus. Andere Forscher meinen jedoch, daß ein Pflug abgebildet ist.	努力 = nǔ lì = fleißig (sein), sich bemühen, sich Mühe geben // 力氣 = lì qì = Kraft, Mühe // 能力 = néng lì = Fähigkeit, Kraft
0036-@	加	加	jiā	addieren, hinzufügen	hinzufügen	Kraft (力) + Mund (口)	Kraft + Mund	力 Kraft und 口 mündlicher Ausdruck: 加 Hinzufügen einer weiteren Dimension der Beeinflussung Anderer.	參加 = cān jiā = teilnehmen an // 加班 = jiā bān = Überstunden machen // 加油站 = jiā yóu zhàn = Tankstelle
0037-1	矢				Pfeil*			Bild eines 矢 Pfeils.	
0037-@	知	知	zhī	wissen	wissen	Pfeil* (矢) + Mund (口)	Pfeil* + Mund	Wie ein 矢 Pfeil mit dem 口 Mund reden - das geht nur, wenn man viel 知 weiß.	知道 = zhī dào = wissen, Bescheid wissen, erfahren // 通知 = tōng zhī = mitteilen, informieren // 知識 = zhī shí = Kenntnis, Wissen
0038-@	間	间	1) jiān / 2) jiàn	1) Raum, zwischen, [ZEW für Räume] / 2) (Zwischenraum)	Zwischenraum	Tür (門) + Sonne (日)	Tür + Sonne	Die 日 Sonne scheint durch den 間 Zwischenraum einer 門 Tür.	房間 = fáng jiān = Zimmer, Raum // 時間 = shí jiān = Zeit(raum), Dauer // 洗手間 = xǐ shǒu jiān = Toilette, Waschraum // 和諧無間 = hé xié wú jiàn = in perfekter Harmonie [Redensart] // 間接 = jiàn jiē = indirekt
0039-@	品	品	pǐn	Ware, Gegenstand, Eigenschaft	Ware	Mund (口) + Mund (口) + Mund (口)	Mund + Mund + Mund	品 Waren, die viele 口口口 Münder befriedigen; das Zeichen kann man aber auch als gestapelte Gegenstände interpretieren.	食品 = shí pǐn = Lebens-, Nahrungsmittel // 產品 = chǎn pǐn = Produkt // 工藝品 = gōng yì pǐn = Handarbeit, Kunsthandwerk, kunstgewerbliches Produkt
0040-@	闆	板	bǎn	Chef, Boss, Oberhaupt	Chef	Tür (門) + Ware (品)	Tür + Ware	Zwischen einer 門 Tür sieht man 品 Waren: Sinnbild für den 闆 Chef einer Firma.	老闆 = lǎo bǎn = Chef
0041-@	寸	寸	cùn	3,3 cm, sehr wenig	Daumen/Hand			Bild einer Hand; der 寸 Daumen wird durch einen Punkt angedeutet.	寸步不離 = cùn bù bù lí = keinen Schritt von jemandes Seite weichen [Redensart] // 得寸進尺 = dé cùn jìn chǐ = unersättlich [Redensart] // 手無寸鐵 = shǒu wú cùn tiě = unbewaffnet; wehrlos [Redensart]
0042-@	十	十	shí	zehn	zehn			Ein Piktogramm für 十 zehn.	十分 = shí fēn = sehr, äußerst // 十一 = shí yī = elf // 一五一十 = yī wǔ yī shí = in allen Einzelheiten (erzählen, berichten) [Redensart]
0043-@	士	士	shì	(geachtete Person, Gelehrter)	Gelehrter	zehn (十) + eins (一)	zehn + eins	十 Zehn -mal so klug wir 一 eine normale Person: ein 士 Gelehrter oder eine geachtete Person.	博士 = bó shì = Doktor, Dr. // 護士 = hù shì = Krankenpfleger; Krankenschwester // 碩士 = shuò shì = Magister, Master
0044-@	寺	寺	sì	buddh. Kloster	Tempel/Kloster	Erde (土) + Daumen/Hand (寸)	Erde + Daumen/Hand	In einem buddh. 寺 Tempel oder 寺 Kloster, gebaut aus 土 Erde, führen die Mönche alles mit der 寸 Hand (mit Daumen) aus. Oft wird der obere Teil des Zeichens auch als 士 Gelehrter geschrieben. 寺 Tempel, der Ort, an dem 士 Gelehrte alles mit der 寸 Hand tun.	清真寺 = qīng zhēn sì = Moschee // 少林寺 = shào lín sì = Shaolin-Kloster (nahe Luoyang) // 寺廟 = sì miào = Tempel
0045-@	時	时	shí	Zeit	Zeit	Sonne (日) + Tempel/Kloster (寺)	Sonne + Tempel/Kloster	Die 時 Zeit wurde in alten Zeiten mit Hilfe der 日 Sonne in 寺 Tempeln festgelegt.	時候 = shí hòu = Zeit, Zeitpunkt // 時間 = shí jiān = Zeit(raum), Dauer // 小時 = xiǎo shí = Stunde
0046-@	付	付	fù	übergeben, bezahlen	übergeben/bezahlen	Person (人亻) + Daumen/Hand (寸)	Person + Daumen/Hand	Eine 寸 Hand (mit Daumen) 付 übergibt Geld an eine 亻 Person, d. h. 付 bezahlt. 	對付 = duì fù = behandeln, mit etw. umgehen // 付款處 = fù kuǎn chù = Kasse, Zahlstelle // 付錢 = fù qián = bezahlen
0047-@	竹	竹	zhú	Bambus	Bambus			Bild von zwei 竹 Bambus -Zweigen.	竹子 = zhú zi = Bambus // 新竹 = xīn zhú = Xinzhu, auch: Hsinchu [Stadt in Taiwan] // 竹北 = zhú běi = Zhubei, auch: Chupei, Jhubei [Stadt in Taiwan]
0048-@	等	等	děng	Klasse, Rang, warten, etcetera	Rang/warten	Bambus (竹) + Tempel/Kloster (寺)	Bambus + Tempel/Kloster	Mit Hilfe von 竹 Bambusstreifen (auf denen früher geschrieben wurde) wurde in 寺 Tempeln aufgezeichnet und klassifiziert: 等 Klasse, Rang. Die Bedeutung "warten" (gemäß der Rangfolge) kam später hinzu.	等待 = děng dài = warten auf, erwarten // 等於 = děng yú = gleich sein // 平等 = píng děng = Gleichberechtigung
0049-@	子	子	1) zǐ / 2) zi	1) Kind, Samen, Ei / 2) [Suffix für Nomen]	Kind/Nomensuffix			Bild eines 子 Kindes, eines Babys. Auch als Nomensuffix gebräuchlich.	電子郵件 = diàn zǐ yóu jiàn = E-Mail, elektronische Post // 電子 = diàn zǐ = elektronisch; Elektron // 獨生子女 = dú shēng zǐ nǚ = Einzelkind // 杯子 = bēi zi = Becher, Tasse, Glas // 兒子 = ér zi = Sohn // 椅子 = yǐ zi = Stuhl
0050-1	宀				Dach*			Bild eines 宀 Daches.	
0050-@	字	字	zì	Schriftzeichen	Schriftzeichen	Dach* (宀) + Kind/Nomensuffix (子)	Dach* + Kind/Nomensuffix	Ein 子 Kind unter einem 宀 Dach, das bedeutet: es lernt (meist) 字 chinesische Schriftzeichen.	名字 = míng zì = Name [Vor- od. Gesamtname]; Bezeichnung einer Sache // 字典 = zì diǎn = Wörterbuch [Zeichenbuch] // 數字 = shù zì = Ziffer, Zahl, Quantität; ziffernmäßig
0051-@	好	好	1) hǎo / 2) hào	1) gut, wie, sehr, [Komplement der Fertigstellung] / 2) (gern mögen)	gut	Frau (女) + Kind/Nomensuffix (子)	Frau + Kind/Nomensuffix	Eine 女 Frau mit ihrem 子 Kind; das ist 好 gut.	好吃 = hǎo chī = gutschmeckend, lecker [Essen] // 好處 = hǎo chù = Vorteil // 好像 = hǎo xiàng = scheinen, anscheinend // 愛好 = ài hào = Hobby // 好強 = hào qiáng = ehrgeizig // 好奇 = hào qí = neugierig
0052-@	仔	仔	1) zǎi / 2) zǐ	1) (Junge, Jungtier) / 2) (Junge; klein, detailliert)	Junge/klein	Person (人亻) + Kind/Nomensuffix (子)	Person + Kind/Nomensuffix	Eine 仔 kleine 亻 Person, noch wie ein 子 Kind: ein 仔 Junge.	牛仔褲 = niú zǎi kù = Jeans // 仔細 = zǐ xì = sorgfältig, aufmerksam
0053-@	言	言	yán	Wort	Rede			Das Zeichen war früher identisch mit 音 Ton und zeigt einen Mund, der in eine Flöte bläst. Heute bedeutet es: Wort(e) oder 言 Rede.	語言 = yǔ yán = Sprache [wiss. Begriff] // 發言 = fā yán = eine Rede halten // 言不由衷 = yán bù yóu zhōng = unaufrichtig sprechen [Redensart]
0054-@	信	信	xìn	Brief, vertrauen, glauben an	Brief/glauben	Person (人亻) + Rede (言)	Person + Rede	Ein 信 Brief ist die geschriebene 言 Rede einer 亻 Person, dem man 信 glauben kann.	相信 = xiāng xìn = vertrauen, glauben // 信任 = xìn rèn = vertrauen // 信心 = xìn xīn = Zuversicht, Vertrauen
0055-@	計	计	jì	rechnen, planen	zählen/rechnen	Rede (言) + zehn (十)	Rede + zehn	Man braucht eine 言 Rede von 十 zehn Worten, um zu 計 zählen bzw. zu 計 rechnen.	估計 = gū jì = Kalkulation; kalkulieren; circa; geschätzt; vermutlich // 計劃 = jì huà = Plan; planen // 計算 = jì suàn = zählen, rechnen, kalkulieren, überlegen
0056-@	討	讨	tǎo	(verurteilen, fordern)	fordern	Rede (言) + Daumen/Hand (寸)	Rede + Daumen/Hand	Mit 言 Rede und mit 寸 Händen (hier: mit Daumen) wird 討 gefordert, diskutiert, verurteilt.	討論 = tǎo lùn = besprechen, erörtern, diskutieren; Diskussion // 討厭 = tǎo yàn = abscheulich, unangenehm; verabscheuen, nicht mögen, hassen // 討價還價 = tǎo jià huán jià = feilschen, handeln
0057-@	月	月	yuè	Mond, Monat	Mond			Bild des 月 Mondes.	月亮 = yuè liàng = Mond // 月球 = yuè qiú = Mond // 一月 = yī yuè = Januar
0058-@	明	明	míng	hell, offenbar werden	hell	Sonne (日) + Mond (月)	Sonne + Mond	日 Sonne und 月 Mond - beide sorgen auf natürliche Weise für 明 Helligkeit.	明天 = míng tiān = morgen, der morgige Tag // 聰明 = cōng míng = intelligent, klug // 明白 = míng bái = klar, verständlich, deutlich; verstehen, begreifen
0059-1	丿 plus 一				linke-Hand*			Symbol für die linke Hand.	
0059-@	有	有	yǒu	haben, existieren, es gibt	haben	linke-Hand* (丿 plus 一) + Mond (月)	linke-Hand* + Mond	Die linke Hand (die ersten zwei Striche in 右, 左, 友) greift nach dem 月 Mond - der ultimative, unerreichbare Besitz: 有 haben.	有名 = yǒu míng = berühmt, namhaft, bekannt (sein) // 所有 = suǒ yǒu = alle, sämtliche // 有趣 = yǒu qù = interessant, wissenswert
0060-@	右	右	yòu	rechts	rechts	linke-Hand* (丿 plus 一) + Mund (口)	linke-Hand* + Mund	Die ersten beiden Striche dieses Zeichens (linke-Hand) waren ursprünglich eine rechte Hand. Der 口 Mund wurde hinzugefügt, weil mit der 右 rechten Hand gegessen wird.	右邊 = yòu biān = rechts // 左右 = zuǒ yòu = links und rechts; in der Nähe von; ungefähr, etwa // 左思右想 = zuǒ sī yòu xiǎng = hin und her überlegen [Redensart]
0061-@	工	工	gōng	Arbeit, Arbeiter	Arbeit			Bild eines Doppel-T-Trägers: Sinnbild für 工 Arbeit.	工作 = gōng zuò = arbeiten, berufstätig sein; Arbeit // 工具 = gōng jù = Werkzeug, Instrument // 工資 = gōng zī = Lohn, Gehalt, Arbeitslohn
0062-@	左	左	zuǒ	links	links	linke-Hand* (丿 plus 一) + Arbeit (工)	linke-Hand* + Arbeit	Die linke Hand (die ersten 2 Striche) assistiert der rechten Hand bei der 工 Arbeit: 左 links.	左邊 = zuǒ biān = links // 左右 = zuǒ yòu = links und rechts; in der Nähe von; ungefähr, etwa // 左思右想 = zuǒ sī yòu xiǎng = hin und her überlegen [Redensart]
0063-@	又	又	yòu	wieder, noch einmal [bei Vergangenem], aber	rechte-Hand/wieder			Bild einer 又 rechten Hand. Inzwischen wird 右 als Zeichen für "rechts" verwendet, und 又 wird für "wieder" verwendet.	既…又… = jì ... yòu ... = sowohl ..., als auch ... // 又…又 = yòu ... yòu = ... und ..., sowohl ... als auch // 卻又 = què yòu = trotzdem
0064-@	友	友	yǒu	(Freund)	zwei-Hände/Freundschaft	linke-Hand* (丿 plus 一) + rechte-Hand/wieder (又)	linke-Hand* + rechte-Hand/wieder	Bild 友 zweier Hände (links und rechts) in 友 Freundschaft.	朋友 = péng yǒu = Freund, Bekannter // 友好 = yǒu hǎo = Freundlichkeit; freundlich // 友誼 = yǒu yì = Freundschaft
0065-@	安	安	ān	Frieden, Ruhe	Frieden	Dach* (宀) + Frau (女)	Dach* + Frau	Eine 女 Frau, die sich im Haus (unter dem 宀 Dach) entspannt: hier ist es (meist) 安 ruhig und friedvoll.	安靜 = ān jìng = ruhig, still, friedlich (sein); Ruhe, Stille // 安排 = ān pái = Regelung, Anordnung, Vereinbarung; anordnen, organisieren // 安全 = ān quán = sicher, Sicherheit
0066-1	豕				Eber*			Bild eines Schweines oder eines 豕 Ebers.	
0066-@	家	家	jiā	Haus, Familie, [ZEW für Geschäfte]	Heim	Dach* (宀) + Eber* (豕)	Dach* + Eber*	Das 家 Heim ist das Haus, unter dessen 宀 Dach 豕 Schweine und andere Haustiere sich befinden (豕 für Schwein ist heute ungebräuchlich, man benutzt 猪).	大家 = dà jiā = alle [Personen] // 國家 = guó jiā = Land, Staat, Nation // 家具 = jiā jù = Möbel, Hausrat
0067-@	二	二	èr	zwei	zwei	eins (一) + eins (一)	eins + eins	Zwei horizontale Striche kennzeichnen die Zahl 二 zwei, analog zum römischen Zahlensystem.	說一不二 = shuō yī bù èr = zu seinem Wort stehen [Redensart] // 二十一 = èr shí yī = einundzwanzig // 一清二楚 = yī qīng èr chǔ = ganz genau wissen [Redensart]
0068-@	三	三	sān	drei	drei	eins (一) + eins (一) + eins (一)	eins + eins + eins	Drei horizontale Striche kennzeichnen die Zahl 三 drei, analog zum römischen Zahlensystem.	不三不四 = bù sān bù sì = unmöglich, unanständig [Redensart] // 三分之二 = sān fēn zhī èr = zwei Drittel // 三心二意 = sān xīn èr yì = nicht mit ganzem Herzen bei einer Sache sein [Redensart]
0069-@	四	四	sì	vier	vier			四 Vier ist eine gerade Zahl, die leicht in zwei Hälften geteilt werden kann; dies wird im Zeichen grafisch dargestellt.	不三不四 = bù sān bù sì = unmöglich, unanständig [Redensart] // 二十四小時店 = èr shí sì xiǎo shí diàn = 24-Stunden-Laden // 低三下四 = dī sān xià sì = unterwürfig, niedrig [Redensart]
0070-@	五	五	wǔ	fünf	fünf			Graphische Darstellung der 五 fünf Elemente 金 Metall, 木 Holz, 水 Wasser, 火 Feuer und 地 Erde zwischen 二 Himmel und Erde.	一五一十 = yī wǔ yī shí = in allen Einzelheiten (erzählen, berichten) [Redensart] // 約五十人 = yuē wǔ shí rén = ungefähr fünfzig Leute // 三十五 = sān shí wǔ = fünfunddreißig
0071-@	六	六	liù	sechs	sechs			六 Sechs ist - wie alle chin. Zahlzeichen für gerade Zahlen - symmetrisch. In der alten Form war sie eine 四 Vier mit einem Punkt oben.	六親不認 = liù qīn bù rèn = auf niemanden Rücksicht nehmen [Redensart] // 十六 = shí liù = sechzehn // 六十 = liù shí = sechzig
0072-@	七	七	qī	sieben	sieben			七 Sieben sind noch nicht ganz 十 zehn, also wird diese Unzulänglichkeit durch den gebogenen Strich dargestellt.	七上八下 = qī shàng bā xià = durcheinander sein/gehen [Redensart] // 七分 = qī fèn = sieben Zehntel, 70 %; hier: fast durchgebraten // 十七 = shí qī = siebzehn
0073-@	八	八	bā	acht	acht/teilen			Die Zahl 八 acht läßt sich hervorragend teilen. Diese Teilbarkeit wird im Zeichen dargestellt.	七上八下 = qī shàng bā xià = durcheinander sein/gehen [Redensart] // 八得 = bā dé = Bade, auch: Pate [Stadt in Taiwan] // 八成 = bā chéng = achtzig Prozent, sehr wahrscheinlich
0074-@	九	九	jiǔ	neun	neun			Vielleicht ein gebeugter Arm, der früher eine Geste für die Ziffer 九 neun war?	十九 = shí jiǔ = neunzehn // 九龍 = jiǔ lóng = Kowloon (Halbinsel in Hong Kong) // 九月 = jiǔ yuè = September
